序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-去年同期,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-去年同期,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,所处行业,公告日期
246,688325,赛微微电,1.1544,488659682.39,393016378.03,24.335704491353,15.153356114817,96345205.17,78839779.71,22.203798037477,51.57951903,20.89,5.59,半导体,2026-02-28
250,688317,之江生物,-0.19,124913600.0,178651900.0,-30.07989279711,12.133221087233,-34303800.0,-127462100.0,73.087058819837,74.7735262991,17.43,-1.01,医疗器械,2026-02-28
252,688314,康拓医疗,1.22,349598600.0,321945200.0,8.589474233503,21.959776316108,98817400.0,88399100.0,11.785527228218,1.7762126229,8.84,14.72,医疗器械,2026-02-28
254,688311,盟升电子,-0.1,525096979.82,139362833.09,276.784088108265,115.514909488816,-16168276.39,-271646572.7,94.048046979096,401.3400163417,9.96,-0.98,军工电子Ⅱ,2026-02-28
255,688308,欧科亿,0.66,1457415200.0,1127186200.0,29.296756826867,3.406382412272,103821200.0,57302400.0,81.181241972413,4.6570337286,16.68,4.01,通用设备,2026-02-28
256,688306,均普智能,0.01,2579903500.0,2661715100.0,-3.073642254199,125.010452298583,12194800.0,8197700.0,48.758798199495,350.3982026272,1.56,0.66,自动化设备,2026-02-28
267,688280,精进电动,0.27,2726326100.0,1304900600.0,108.929791280654,18.537763891753,161745400.0,-436413300.0,137.06243599817,64.3474029569,1.26,24.4,汽车零部件,2026-02-28
268,688279,峰岹科技,2.24,773904400.0,600324700.0,28.914302543274,18.200909965688,226637000.0,222362300.0,1.922403213135,17.0625490503,44.22,6.3,半导体,2026-02-28
276,688258,卓易信息,0.68,337697636.38,323392632.95,4.423416606467,-15.805894240176,82121613.88,32841483.65,150.054518715387,114.710357837,7.44,9.36,IT服务Ⅱ,2026-02-28
277,688257,新锐股份,0.9434,2500767900.0,1861833100.0,34.317512133606,9.898717746899,236603600.0,180733800.0,30.912756772668,10.3197428325,9.38,10.39,通用设备,2026-02-28
287,688236,春立医疗,0.71,1043768680.27,805857022.19,29.522812549731,7.142447032083,272124670.05,124988009.59,117.720620516044,4.58248675,7.78,9.28,医疗器械,2026-02-28
298,688220,翱捷科技,-0.97,3816803498.36,3385742818.95,12.731642728365,-4.673705488013,-394017133.27,-693013679.18,43.144393089583,18.7885421055,13.04,-7.06,半导体,2026-02-28
302,688216,气派科技,-0.7,767804248.77,666562484.81,15.188638164786,15.935882513198,-75145286.42,-102113713.12,26.41019102724,108.4638365477,5.45,-12.17,半导体,2026-02-28
303,688215,瑞晟智能,0.57,434281777.57,387553435.41,12.057264338417,82.738771859767,35271855.34,16000686.66,120.439635432496,415.3548721657,7.8,7.43,自动化设备,2026-02-28
311,688199,久日新材,0.17,1486223661.79,1488443415.32,-0.149132543915,1.399159567017,27771322.54,-53760758.04,151.657237644114,112.7128055336,16.1,1.08,化学制品,2026-02-28
312,688198,佰仁医疗,1.53,630372000.0,501879100.0,25.602361206115,85.982755815511,205236700.0,162539400.0,26.268892342411,428.4480570858,9.13,16.52,医疗器械,2026-02-28
315,688192,迪哲医药,-1.71,801135600.0,359900600.0,122.599128759441,-7.118577316661,-763311200.0,-845956300.0,9.769428988235,9.4893424573,2.81,-73.92,化学制药,2026-02-28
323,688181,八亿时空,0.6,871070600.0,737373000.0,18.131610460378,-1.526604641358,78320300.0,76603900.0,2.240616992085,122.8541367623,16.04,3.77,光学光电子,2026-02-28
330,688171,纬德信息,0.15,139119800.0,98437800.0,41.327620080904,163.614104376495,12225000.0,11571300.0,5.649322029504,527.080320086,10.07,1.48,软件开发,2026-02-28
